date,sector,sector_sentiment,headline_count,active_ticker_count,dominant_ticker,headline_weighted_sentiment,difference_headline_minus_equal_ticker,absolute_difference,sign_reversal,pearson_correlation,spearman_correlation,observation_count
2020-02-12,Energy,0.03376749999999999,17,5.0,XOM,0.10932941176470588,0.07556191176470589,0.07556191176470589,False,,,
2020-02-13,Energy,0.121615625,22,4.0,XOM,0.08940454545454546,-0.032211079545454546,0.032211079545454546,False,,,
2020-02-14,Energy,0.113125,12,4.0,OXY,0.10316666666666667,-0.009958333333333333,0.009958333333333333,False,,,
2020-02-18,Energy,0.14617833333333333,22,5.0,OXY,0.11704090909090908,-0.029137424242424242,0.029137424242424242,False,,,
2020-02-19,Energy,0.24769583333333334,9,4.0,XOM,0.23321111111111112,-0.014484722222222218,0.014484722222222218,False,,,
2020-02-20,Energy,0.285525,8,3.0,OXY,0.24988749999999998,-0.03563749999999999,0.03563749999999999,False,,,
2020-02-21,Energy,0.07205833333333334,15,5.0,OXY,0.06653333333333333,-0.005525000000000002,0.005525000000000002,False,,,
2020-02-24,Energy,-0.14663821428571427,24,5.0,CVX,-0.024137500000000006,0.12250071428571427,0.12250071428571427,False,,,
2020-02-25,Energy,-0.033855,17,5.0,OXY,0.017329411764705874,0.05118441176470588,0.05118441176470588,True,,,
2020-02-26,Energy,0.2228217142857143,17,5.0,OXY,0.1346529411764706,-0.0881687731092437,0.0881687731092437,False,,,
2020-02-27,Energy,0.08371033333333334,32,5.0,OXY,0.06778437500000001,-0.015925958333333337,0.015925958333333337,False,,,
2020-02-28,Energy,0.08607138888888889,26,5.0,OXY,0.06932692307692308,-0.016744465811965814,0.016744465811965814,False,,,
2020-03-02,Energy,0.05180625,16,4.0,XOM,0.048468750000000005,-0.0033374999999999932,0.0033374999999999932,False,,,
2020-03-03,Energy,0.05448088888888889,23,5.0,XOM,0.011834782608695651,-0.04264610628019324,0.04264610628019324,False,,,
2020-03-04,Energy,0.22001666666666667,19,5.0,OXY,0.25934210526315793,0.03932543859649126,0.03932543859649126,False,,,
2020-03-05,Energy,0.06623000000000001,20,5.0,XOM,0.006220000000000006,-0.06001000000000001,0.06001000000000001,False,,,
2020-03-06,Energy,-0.0073595238095238045,29,5.0,XOM,-0.06114827586206896,-0.05378875205254516,0.05378875205254516,False,,,
2020-03-09,Energy,-0.09956684210526316,54,5.0,OXY,-0.10090555555555555,-0.001338713450292392,0.001338713450292392,False,,,
2020-03-10,Energy,0.008469864734299514,48,5.0,OXY,0.006645833333333334,-0.0018240314009661798,0.0018240314009661798,False,,,
2020-03-11,Energy,0.032616011904761905,33,5.0,OXY,0.01939393939393939,-0.013222072510822514,0.013222072510822514,False,,,
2020-03-12,Energy,0.06268815789473683,29,5.0,OXY,0.135051724137931,0.07236356624319418,0.07236356624319418,False,,,
2020-03-13,Energy,0.2084266106442577,30,5.0,OXY,0.09473,-0.11369661064425769,0.11369661064425769,False,,,
2020-03-16,Energy,0.000690843137254904,42,5.0,OXY,-0.026347619047619043,-0.02703846218487395,0.02703846218487395,True,,,
2020-03-17,Energy,0.025996,18,5.0,OXY,-0.028772222222222216,-0.05476822222222222,0.05476822222222222,True,,,
2020-03-18,Energy,0.01874285714285715,29,5.0,XOM,0.011720689655172416,-0.007022167487684736,0.007022167487684736,False,,,
2020-03-19,Energy,-0.058077500000000004,15,4.0,OXY,-0.11905999999999999,-0.06098249999999998,0.06098249999999998,False,,,
2020-03-20,Energy,-0.10680738461538461,29,5.0,OXY,-0.09707931034482759,0.009728074270557024,0.009728074270557024,False,,,
2020-03-23,Energy,-0.13521555555555556,26,5.0,OXY,-0.1638269230769231,-0.02861136752136753,0.02861136752136753,False,,,
2020-03-24,Energy,0.11338933333333331,31,5.0,CVX,0.13011935483870968,0.016730021505376363,0.016730021505376363,False,,,
2020-03-25,Energy,0.21201111111111112,22,3.0,OXY,0.18783181818181818,-0.02417929292929294,0.02417929292929294,False,,,
2020-03-26,Energy,0.175266,17,5.0,OXY,0.13861176470588235,-0.036654235294117654,0.036654235294117654,False,,,
2020-03-27,Energy,0.28984471428571423,23,5.0,XOM,0.16962608695652176,-0.12021862732919247,0.12021862732919247,False,,,
2020-03-30,Energy,0.12272133333333332,20,5.0,CVX,0.08373000000000001,-0.03899133333333331,0.03899133333333331,False,,,
2020-03-31,Energy,0.006620833333333331,19,5.0,OXY,-0.0009052631578947354,-0.007526096491228066,0.007526096491228066,True,,,
2020-04-01,Energy,-0.05197047619047618,26,5.0,OXY,0.03361153846153847,0.08558201465201465,0.08558201465201465,True,,,
2020-04-02,Energy,-0.044638179487179484,39,5.0,OXY,-0.006274358974358974,0.03836382051282051,0.03836382051282051,False,,,
2020-04-03,Energy,-0.018312380952380948,42,5.0,OXY,0.04881666666666667,0.06712904761904762,0.06712904761904762,True,,,
2020-04-06,Energy,0.11251055555555556,27,5.0,SLB,0.12225555555555558,0.009745000000000018,0.009745000000000018,False,,,
2020-04-07,Energy,0.3126607142857143,43,5.0,XOM,0.1565093023255814,-0.15615141196013288,0.15615141196013288,False,,,
2020-04-08,Energy,0.301839619047619,35,5.0,XOM,0.17271142857142857,-0.12912819047619045,0.12912819047619045,False,,,
